bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,time
64681.99,8.29434,64682.0,0.0281,64681.98,0.00034,64682.01,0.0013,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72954,64683.99,0.00018,64680.77,2.31839,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949295.514
64681.99,8.24416,64682.0,0.02796,64681.98,0.00034,64682.01,0.0013,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949295.614
64681.99,8.24416,64682.0,0.0278,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949295.714
64681.99,8.24416,64682.0,0.02753,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949295.814
64681.99,8.24416,64682.0,0.02761,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949295.914
64681.99,8.24416,64682.0,0.02761,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949296.014
64681.99,8.24923,64682.0,0.0243,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31848,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949296.114
64681.99,8.24923,64682.0,0.0243,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31857,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949296.214
64681.99,8.24923,64682.0,0.0243,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31857,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949296.314
64681.99,8.24935,64682.0,0.0243,64681.98,0.00034,64682.01,0.00122,64681.97,0.00016,64682.02,0.00016,64681.73,0.00482,64682.37,8e-05,64681.5,0.00016,64683.05,0.00463,64681.1,8e-05,64683.66,8e-05,64680.79,0.00018,64683.98,9e-05,64680.78,1.72963,64683.99,0.00018,64680.77,2.31857,64684.0,0.02618,64680.75,0.00441,64684.21,9e-05,1785949296.414
